t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
7,1148.71,958.91,-326.46,-439.31,326.46,346.29,-1148.71,-1485.15
7,1148.71,1106.00,-326.46,-575.61,326.46,324.31,-1148.71,-1218.94
8,1148.71,1377.70,-326.46,-136.12,326.46,407.15,-1148.71,-1077.04
15,1151.79,1184.73,-327.34,366.69,327.34,275.52,-1151.79,-1252.11
15,1151.79,1169.73,-327.34,-475.56,327.34,320.40,-1151.79,-625.75
18,1151.79,1081.22,-327.34,-655.33,327.34,461.40,-1151.79,-1477.27
25,1151.79,1102.10,-327.34,-136.35,327.34,318.09,-1151.79,-1275.04
28,1151.79,1349.78,-327.34,-64.20,327.34,309.89,-1151.79,-1103.78
35,1151.79,1028.52,-327.34,-274.24,327.34,344.39,-1151.79,-1134.30
46,1151.79,1171.12,-327.34,-570.78,327.34,571.88,-1151.79,-1091.71
48,1151.79,959.24,-327.34,-442.63,327.34,386.72,-1151.79,-1103.30
56,1151.79,1399.95,-327.34,-194.22,327.34,-48.66,-1151.79,-1035.60
63,1151.79,1013.68,-327.34,-203.96,327.34,136.80,-1151.79,-1336.65
68,1151.79,1229.16,-327.34,-226.20,327.34,519.17,-1151.79,-1017.02
87,1151.79,1090.07,-327.34,-446.94,327.34,344.51,-1151.79,-1184.77
87,1151.79,1158.02,-327.34,-645.60,327.34,120.17,-1151.79,-1100.25
92,1151.79,1105.17,-327.34,-375.15,327.34,249.94,-1151.79,-1560.31
92,1151.79,1051.39,-327.34,57.11,327.34,493.75,-1151.79,-810.65
100,1151.79,1351.52,-327.34,-245.53,327.34,527.08,-1151.79,-1118.66
104,1151.79,967.51,-327.34,-507.79,327.34,289.50,-1151.79,-994.93
124,1151.79,1233.52,-327.34,-288.13,327.34,232.24,-1151.79,-1396.67
125,1151.79,1052.99,-327.34,-250.47,327.34,387.63,-1151.79,-1167.59
125,1151.79,1386.60,-327.34,-357.92,327.34,609.55,-1151.79,-1047.89
127,1151.79,921.04,-327.34,-506.28,327.34,355.19,-1151.79,-1286.19
137,1151.79,1195.29,-327.34,-324.14,327.34,-138.10,-1151.79,-928.50
140,1151.79,1082.48,-327.34,-254.21,327.34,278.16,-1151.79,-1225.67
152,1151.79,1194.54,-327.34,-226.20,327.34,536.89,-1151.79,-1096.92
157,1151.79,1159.79,-327.34,-471.12,327.34,340.57,-1151.79,-1241.32
158,1151.79,1203.34,-327.34,-690.50,327.34,258.06,-1151.79,-855.57
166,1151.79,1118.75,-327.34,-227.65,327.34,222.04,-1151.79,-1501.04
169,1151.79,915.66,-327.34,97.06,327.34,363.85,-1151.79,-1239.19
178,1151.79,1419.03,-327.34,-346.40,327.34,438.03,-1151.79,-1144.97
185,1151.79,1011.99,-327.34,-475.78,327.34,388.54,-1151.79,-651.19
194,1151.79,1209.45,-327.34,-222.76,327.34,298.25,-1151.79,-1496.91
194,1151.79,972.00,-327.34,-112.58,327.34,445.35,-1151.79,-1312.42
199,1151.79,1406.33,-327.34,-196.75,327.34,436.51,-1151.79,-884.11
205,1151.79,1069.15,-327.34,-505.09,327.34,182.91,-1151.79,-981.83
210,1151.79,1119.83,-327.34,-545.11,327.34,58.26,-1151.79,-1322.78
218,1151.79,991.54,-327.34,-224.39,327.34,322.50,-1151.79,-1378.35
222,1151.79,1249.80,-327.34,-102.33,327.34,465.28,-1151.79,-755.09
230,1151.79,1299.27,-327.34,-165.87,327.34,339.97,-1151.79,-1028.37
234,1151.79,975.02,-327.34,-456.60,327.34,178.47,-1151.79,-1258.79
240,1151.79,1036.32,-327.34,-759.74,327.34,171.93,-1151.79,-1438.52
249,1151.79,1135.53,-327.34,-369.81,327.34,497.17,-1151.79,-842.75
254,1151.79,1575.58,-327.34,242.98,327.34,526.80,-1151.79,-1204.26
258,1151.79,852.17,-327.34,-459.82,327.34,269.19,-1151.79,-1001.29
265,1151.79,1003.88,-327.34,-568.82,327.34,150.06,-1151.79,-1502.59
274,1151.79,1227.10,-327.34,-109.73,327.34,410.95,-1151.79,-1105.18
278,1151.79,1278.54,-327.34,-122.05,327.34,689.57,-1151.79,-1010.51
282,1151.79,1007.75,-327.34,-446.31,327.34,108.56,-1151.79,-924.88
288,1151.79,1111.64,-327.34,-697.08,327.34,-110.29,-1151.79,-1399.00
296,1151.79,1331.90,-327.34,-320.69,327.34,436.57,-1151.79,-1390.41
300,1151.79,1023.95,-327.34,-114.74,327.34,455.98,-1151.79,-812.75
307,1151.79,1103.03,-327.34,-189.60,327.34,326.40,-1151.79,-1086.45
332,1151.79,1081.76,-327.34,-446.59,327.34,302.07,-1151.79,-1183.76
333,1151.79,1454.33,-327.34,-745.60,327.34,299.73,-1151.79,-1300.90
333,1151.79,1007.56,-327.34,-366.45,327.34,385.44,-1151.79,-784.26
333,1151.79,1173.51,-327.34,81.45,327.34,349.81,-1151.79,-1276.19
335,1151.79,997.30,-327.34,-300.13,327.34,325.80,-1151.79,-1048.83
345,1151.79,1345.74,-327.34,-437.96,327.34,288.01,-1151.79,-1235.04
348,1151.79,1087.41,-327.34,-220.69,327.34,433.62,-1151.79,-925.42
362,1151.79,1101.75,-327.34,-202.25,327.34,438.03,-1151.79,-1554.00
362,1151.79,1121.23,-327.34,-285.09,327.34,106.06,-1151.79,-983.20
366,1151.79,1115.29,-327.34,-552.35,327.34,44.14,-1151.79,-1027.85
371,1151.79,1284.11,-327.34,-504.33,327.34,386.53,-1151.79,-928.93
385,1151.79,1017.62,-327.34,-409.15,327.34,401.04,-1151.79,-1497.59
399,1151.79,1393.53,-327.34,-350.40,327.34,288.60,-1151.79,-1153.67
399,1151.79,900.08,-327.34,-425.16,327.34,322.19,-1151.79,-801.80
400,1151.79,1193.22,-327.34,-608.95,327.34,467.25,-1151.79,-1100.43
404,1151.79,1069.05,-327.34,-79.46,327.34,466.18,-1151.79,-1436.64
408,1151.79,1281.94,-327.34,-33.56,327.34,292.28,-1151.79,-1169.72
413,1151.79,1021.90,-327.34,-504.86,327.34,244.24,-1151.79,-741.24
446,1151.79,1161.24,-327.34,-321.08,327.34,438.88,-1151.79,-1299.64
446,1151.79,1337.88,-327.34,-303.96,327.34,577.71,-1151.79,-1113.89
446,1151.79,1023.95,-327.34,-306.00,327.34,207.47,-1151.79,-1382.59
447,1151.79,1064.00,-327.34,-456.12,327.34,-180.99,-1151.79,-995.88
447,1151.79,1057.95,-327.34,-224.60,327.34,399.91,-1151.79,-1288.60
449,1151.79,1367.44,-327.34,-301.90,327.34,516.95,-1151.79,-856.59
460,1151.79,1059.17,-327.34,-356.06,327.34,251.81,-1151.79,-1439.01
472,1151.79,1345.51,-327.34,-425.11,327.34,235.76,-1151.79,-1178.94
472,1151.79,1010.12,-327.34,-595.24,327.34,256.16,-1151.79,-1019.68
473,1151.79,1102.98,-327.34,-508.75,327.34,493.34,-1151.79,-795.75
482,1151.79,1119.29,-327.34,-7.68,327.34,464.11,-1151.79,-1529.73
491,1151.79,1264.36,-327.34,-201.06,327.34,331.85,-1151.79,-1421.36
491,1151.79,1179.60,-327.34,-406.69,327.34,210.33,-1151.79,-585.85
498,1151.79,925.65,-327.34,-160.66,327.34,329.57,-1151.79,-1141.13
505,1151.79,1213.94,-327.34,-273.00,327.34,459.87,-1151.79,-1389.58
511,1151.79,1175.38,-327.34,-475.51,327.34,356.73,-1151.79,-1309.40
528,1151.79,1352.48,-327.34,-484.22,327.34,-48.63,-1151.79,-657.76
529,1151.79,853.84,-327.34,-60.95,327.34,50.00,-1151.79,-1378.66
529,1151.79,1164.93,-327.34,-135.27,327.34,479.08,-1151.79,-1365.17
537,1151.79,1052.70,-327.34,-463.63,327.34,399.37,-1151.79,-1250.31
540,1148.71,1434.54,-326.46,-332.48,326.46,363.87,-1148.71,-570.87
546,1148.71,1020.49,-326.46,-329.95,326.46,322.20,-1148.71,-1360.49
559,1148.71,1043.78,-326.46,-547.15,326.46,371.72,-1148.71,-1333.13
572,1148.71,1351.09,-326.46,-514.56,326.46,326.11,-1148.71,-1186.16
573,1148.71,1090.75,-326.46,-135.45,326.46,334.19,-1148.71,-888.17
573,1148.71,1007.93,-326.46,-139.16,326.46,431.38,-1148.71,-1082.15
616,1148.71,1056.83,-326.46,-278.66,326.46,551.88,-1148.71,-1403.87
616,1145.62,1428.05,-325.58,-281.60,325.58,350.71,-1145.62,-1173.26
617,1145.62,935.15,-325.58,-399.57,325.58,-47.14,-1145.62,-1181.32
617,1145.62,1189.21,-325.58,-489.08,325.58,136.80,-1145.62,-775.31
617,1145.62,1092.49,-325.58,-340.61,325.58,530.90,-1145.62,-1311.61
617,1145.62,1319.42,-325.58,-224.45,325.58,381.00,-1145.62,-1060.84
618,1142.53,920.88,-324.71,-363.55,324.71,188.18,-1142.53,-1240.33
626,1142.53,1208.88,-324.71,-340.21,324.71,199.49,-1142.53,-864.26
639,1139.44,1164.33,-323.83,-397.81,323.83,329.56,-1139.44,-1516.15
639,1139.44,1193.38,-323.83,-625.08,323.83,531.82,-1139.44,-1186.62
640,1136.36,1045.80,-322.95,-311.02,322.95,391.20,-1136.36,-1073.09
642,1136.36,1072.92,-322.95,43.29,322.95,212.49,-1136.36,-694.68
653,1136.36,1341.35,-322.95,-155.12,322.95,219.67,-1136.36,-1481.64
673,1133.27,1035.61,-322.07,-479.20,322.07,478.93,-1133.27,-1249.70
673,1133.27,1183.39,-322.07,-237.10,322.07,577.48,-1133.27,-991.16
674,1130.18,927.57,-321.20,-201.93,321.20,75.22,-1130.18,-1085.32
674,1130.18,1367.59,-321.20,-313.40,321.20,-100.06,-1130.18,-1216.80
680,1130.18,989.56,-321.20,-535.63,321.20,219.33,-1130.18,-1073.69
684,1130.18,1209.49,-321.20,-292.62,321.20,509.58,-1130.18,-994.60
690,1130.18,1078.38,-321.20,-151.24,321.20,438.09,-1130.18,-1280.55
701,1130.18,1270.24,-321.20,-375.19,321.20,296.11,-1130.18,-1102.41
705,1130.18,971.57,-321.20,-330.32,321.20,196.29,-1130.18,-1187.02
707,1130.18,1119.18,-321.20,-429.70,321.20,363.83,-1130.18,-948.15
715,1130.18,1143.80,-321.20,-527.10,321.20,424.43,-1130.18,-1474.34
722,1130.18,1181.43,-321.20,-233.44,321.20,396.05,-1130.18,-895.89
728,1130.18,1119.29,-321.20,1.05,321.20,336.32,-1130.18,-1165.29
732,1130.18,1024.87,-321.20,-348.79,321.20,423.74,-1130.18,-893.55
742,1130.18,1310.47,-321.20,-463.72,321.20,388.54,-1130.18,-1365.69
746,1130.18,946.43,-321.20,-308.40,321.20,103.83,-1130.18,-877.82
754,1130.18,1144.93,-321.20,-305.96,321.20,104.10,-1130.18,-1346.86
754,1130.18,969.13,-321.20,-382.22,321.20,383.25,-1130.18,-1246.07
763,1130.18,1315.88,-321.20,-469.83,321.20,522.18,-1130.18,-1068.06
779,1130.18,998.97,-321.20,-284.76,321.20,477.60,-1130.18,-656.91
779,1130.18,1357.82,-321.20,-266.70,321.20,303.74,-1130.18,-1251.79
783,1130.18,1010.97,-321.20,-193.62,321.20,238.02,-1130.18,-1185.46
786,1130.18,1061.91,-321.20,-446.32,321.20,185.78,-1130.18,-1158.59
797,1130.18,963.99,-321.20,-735.39,321.20,375.79,-1130.18,-1079.29
808,1130.18,1376.95,-321.20,-264.23,321.20,439.83,-1130.18,-1168.00
808,1130.18,1135.97,-321.20,74.90,321.20,475.75,-1130.18,-1332.42
811,1130.18,915.62,-321.20,-360.72,321.20,354.43,-1130.18,-842.07
819,1130.18,1043.91,-321.20,-398.72,321.20,76.74,-1130.18,-1056.67
824,1130.18,1312.42,-321.20,-94.79,321.20,105.39,-1130.18,-1219.12
834,1130.18,1315.41,-321.20,-149.38,321.20,367.34,-1130.18,-1368.09
834,1130.18,877.85,-321.20,-461.19,321.20,374.07,-1130.18,-744.38
841,1130.18,1001.09,-321.20,-617.32,321.20,288.36,-1130.18,-1071.62
847,1130.18,1041.11,-321.20,-173.05,321.20,381.53,-1130.18,-1191.60
856,1130.18,1488.91,-321.20,-27.87,321.20,483.54,-1130.18,-1408.23
859,1130.18,941.25,-321.20,-414.36,321.20,391.39,-1130.18,-744.66
866,1130.18,1088.62,-321.20,-449.75,321.20,246.12,-1130.18,-1046.62
881,1130.18,1061.49,-321.20,-432.27,321.20,311.72,-1130.18,-1148.80
881,1130.18,1397.95,-321.20,-352.29,321.20,420.87,-1130.18,-1399.22
883,1130.18,949.69,-321.20,-447.58,321.20,474.26,-1130.18,-891.01
897,1130.18,1026.20,-321.20,-162.51,321.20,286.19,-1130.18,-1131.71
897,1130.18,1145.21,-321.20,-212.04,321.20,62.45,-1130.18,-986.27
911,1130.18,1323.50,-321.20,-297.50,321.20,201.80,-1130.18,-1446.08
912,1130.18,1686.94,-321.20,-158.48,321.20,395.13,-1130.18,-1178.02
912,1130.18,1132.35,-321.20,-244.21,321.20,304.46,-1130.18,-871.02
923,1130.18,954.72,-321.20,-485.93,321.20,275.60,-1130.18,-823.30
930,1130.18,705.43,-321.20,-587.57,321.20,380.04,-1130.18,-1417.63
939,1130.18,1566.59,-321.20,-188.02,321.20,519.79,-1130.18,-1462.68
939,1130.18,1445.35,-321.20,-199.76,321.20,320.59,-1130.18,-743.49
943,1130.18,803.73,-321.20,-388.02,321.20,232.20,-1130.18,-833.86
952,1130.18,1016.75,-321.20,-386.14,321.20,295.99,-1130.18,-1441.33
955,1130.18,1211.31,-321.20,-550.80,321.20,491.40,-1130.18,-1415.24
963,1130.18,1436.51,-321.20,-436.28,321.20,488.11,-1130.18,-510.21
968,1130.18,825.77,-321.20,-22.67,321.20,120.13,-1130.18,-1244.38
972,1130.18,1128.11,-321.20,-145.20,321.20,-6.82,-1130.18,-1322.65
978,1130.18,1030.80,-321.20,-421.63,321.20,404.47,-1130.18,-1093.95
984,1130.18,1383.69,-321.20,-233.95,321.20,350.17,-1130.18,-851.17
992,1130.18,962.53,-321.20,-262.16,321.20,216.44,-1130.18,-1405.62
1004,1130.18,1210.72,-321.20,-350.08,321.20,219.89,-1130.18,-1164.74
1017,1130.18,1182.97,-321.20,-457.70,321.20,435.34,-1130.18,-980.79
1018,1130.18,1222.81,-321.20,-134.45,321.20,508.15,-1130.18,-1098.88
1018,1130.18,969.67,-321.20,-109.86,321.20,355.78,-1130.18,-1132.10
1020,1130.18,1098.82,-321.20,-470.70,321.20,310.17,-1130.18,-1064.05
1027,1130.18,1207.21,-321.20,-407.36,321.20,335.99,-1130.18,-1079.06
1041,1130.18,1028.55,-321.20,-368.07,321.20,479.63,-1130.18,-1465.58
1041,1130.18,1203.24,-321.20,-363.93,321.20,474.54,-1130.18,-753.12
1043,1130.18,995.02,-321.20,-483.50,321.20,151.14,-1130.18,-1261.25
1055,1130.18,1379.96,-321.20,-190.73,321.20,-45.22,-1130.18,-1027.84
1058,1130.18,855.88,-321.20,-154.15,321.20,394.53,-1130.18,-1357.31
1064,1130.18,1230.09,-321.20,-239.68,321.20,418.19,-1130.18,-848.04
1070,1130.18,994.45,-321.20,-204.54,321.20,166.89,-1130.18,-1389.80
1078,1130.18,1234.90,-321.20,-333.72,321.20,218.04,-1130.18,-1131.19
1083,1130.18,961.19,-321.20,-552.59,321.20,435.07,-1130.18,-1190.29
1087,1130.18,1409.93,-321.20,-516.55,321.20,509.68,-1130.18,-764.59
1090,1130.18,1057.15,-321.20,-35.55,321.20,265.63,-1130.18,-1427.20
1120,1130.18,991.89,-321.20,-155.13,321.20,255.39,-1130.18,-1057.29
1121,1130.18,993.95,-321.20,-557.02,321.20,377.74,-1130.18,-947.52
1121,1130.18,1371.09,-321.20,-421.90,321.20,593.74,-1130.18,-1078.91
1121,1130.18,1157.85,-321.20,-390.33,321.20,473.56,-1130.18,-1352.71
1124,1130.18,879.72,-321.20,-499.53,321.20,-78.52,-1130.18,-1201.80
1128,1130.18,1142.62,-321.20,-241.34,321.20,92.21,-1130.18,-774.79
1144,1130.18,1149.78,-321.20,-66.10,321.20,548.15,-1130.18,-1038.62
1144,1130.18,1311.13,-321.20,-284.35,321.20,370.85,-1130.18,-1347.25
1148,1130.18,843.10,-321.20,-344.37,321.20,64.59,-1130.18,-1317.21
1151,1130.18,1240.33,-321.20,-262.31,321.20,213.49,-1130.18,-720.15
1160,1130.18,991.39,-321.20,-264.00,321.20,469.96,-1130.18,-1187.80
1167,1130.18,1384.44,-321.20,-392.10,321.20,511.79,-1130.18,-1255.39
1174,1130.18,911.73,-321.20,-459.94,321.20,306.64,-1130.18,-1370.30
1177,1130.18,1149.17,-321.20,-242.66,321.20,285.84,-1130.18,-595.56
1184,1130.18,1180.36,-321.20,-263.42,321.20,311.73,-1130.18,-1360.23
1190,1130.18,1277.07,-321.20,-242.07,321.20,505.39,-1130.18,-1101.81
1198,1130.18,1107.34,-321.20,-299.42,321.20,564.22,-1130.18,-1315.82
1200,1130.18,1085.28,-321.20,-477.33,321.20,136.41,-1130.18,-843.06
1209,1130.18,1301.12,-321.20,-645.14,321.20,-81.72,-1130.18,-1281.85
1224,1130.18,928.26,-321.20,-221.81,321.20,417.71,-1130.18,-991.40
1224,1130.18,1152.47,-321.20,-52.30,321.20,491.73,-1130.18,-1385.63
1232,1130.18,1130.98,-321.20,-296.36,321.20,263.73,-1130.18,-1038.78
1233,1130.18,1296.04,-321.20,-308.11,321.20,200.11,-1130.18,-1012.40
1235,1130.18,848.63,-321.20,-292.21,321.20,209.73,-1130.18,-849.43
1255,1130.18,1238.12,-321.20,-426.87,321.20,455.20,-1130.18,-1445.13
1255,1130.18,1140.34,-321.20,-510.11,321.20,399.29,-1130.18,-1204.04
1255,1130.18,1182.90,-321.20,-206.83,321.20,326.15,-1130.18,-889.51
1261,1130.18,1007.64,-321.20,-278.71,321.20,288.01,-1130.18,-1160.38
1272,1130.18,1137.44,-321.20,-330.26,321.20,469.69,-1130.18,-1265.17
1274,1130.18,1248.48,-321.20,-439.63,321.20,439.85,-1130.18,-1232.41
1284,1130.18,1043.97,-321.20,-599.56,321.20,129.97,-1130.18,-743.48
1292,1130.18,997.80,-321.20,-335.70,321.20,21.95,-1130.18,-1261.75
1292,1130.18,944.91,-321.20,92.89,321.20,345.44,-1130.18,-1195.12
1299,1130.18,1277.57,-321.20,-200.33,321.20,488.01,-1130.18,-1298.90
1304,1130.18,1156.21,-321.20,-637.36,321.20,306.14,-1130.18,-820.64
1311,1130.18,1226.05,-321.20,-461.82,321.20,235.85,-1130.18,-1471.06
1318,1130.18,915.85,-321.20,-174.69,321.20,232.20,-1130.18,-854.29
1327,1130.18,1343.69,-321.20,-123.90,321.20,507.19,-1130.18,-1148.44
1327,1130.18,933.93,-321.20,-480.64,321.20,430.19,-1130.18,-964.70
1336,1130.18,1186.43,-321.20,-496.14,321.20,238.42,-1130.18,-1498.68
1350,1130.18,1019.47,-321.20,-190.98,321.20,243.90,-1130.18,-942.43
1351,1130.18,1279.85,-321.20,-54.32,321.20,542.56,-1130.18,-1145.61
1363,1130.18,1008.19,-321.20,-171.31,321.20,566.10,-1130.18,-1222.91
1364,1130.18,1149.12,-321.20,-567.16,321.20,-24.19,-1130.18,-1163.69
1364,1130.18,1234.77,-321.20,-843.25,321.20,-40.25,-1130.18,-908.26
1368,1130.18,1059.78,-321.20,-31.92,321.20,542.33,-1130.18,-1141.32
1376,1130.18,991.18,-321.20,222.42,321.20,454.28,-1130.18,-1139.57
1385,1130.18,1156.37,-321.20,-825.68,321.20,348.63,-1130.18,-1005.97
1388,1130.18,1523.44,-321.20,-345.62,321.20,258.76,-1130.18,-1055.44
1398,1130.18,1072.46,-321.20,16.73,321.20,295.98,-1130.18,-1307.28
1399,1130.18,1263.11,-321.20,112.42,321.20,398.24,-1130.18,-1440.42
1403,1130.18,877.45,-321.20,-200.86,321.20,385.80,-1130.18,-662.80
1417,1130.18,1181.25,-321.20,-654.22,321.20,278.43,-1130.18,-1152.04
1418,1130.18,998.87,-321.20,-646.40,321.20,283.45,-1130.18,-1135.32
1420,1130.18,1306.01,-321.20,-87.09,321.20,436.04,-1130.18,-1281.05
1430,1130.18,1095.16,-321.20,-242.03,321.20,417.56,-1130.18,-825.63
