t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
8,928.32,616.55,236.77,279.18,-236.77,-83.05,-928.32,-808.06
8,928.32,1230.79,236.77,312.07,-236.77,-86.09,-928.32,-482.59
8,928.32,970.25,236.77,491.90,-236.77,-324.96,-928.32,-1155.60
9,928.32,1019.03,236.77,307.53,-236.77,-236.69,-928.32,-1191.70
9,928.32,1218.58,236.77,231.34,-236.77,-275.15,-928.32,-474.48
9,928.32,776.73,236.77,165.88,-236.77,-329.99,-928.32,-1403.75
10,928.32,695.40,236.77,280.98,-236.77,-34.25,-928.32,-946.17
10,928.32,1504.85,236.77,288.54,-236.77,-94.48,-928.32,-591.01
15,928.32,738.41,236.77,276.00,-236.77,-449.14,-928.32,-711.53
27,928.32,837.39,236.77,250.78,-236.77,-352.30,-928.32,-1352.86
31,928.32,718.34,236.77,195.94,-236.77,-7.31,-928.32,-742.74
34,928.32,1138.29,236.77,410.30,-236.77,-60.26,-928.32,-1093.83
43,928.32,1136.68,236.77,245.12,-236.77,-383.30,-928.32,-704.98
46,928.32,870.64,236.77,135.75,-236.77,-357.69,-928.32,-1002.49
51,928.32,808.82,236.77,219.61,-236.77,-330.04,-928.32,-931.51
62,928.32,624.07,236.77,295.64,-236.77,-307.84,-928.32,-843.98
64,928.32,1141.60,236.77,483.78,-236.77,-351.62,-928.32,-1144.65
71,928.32,989.52,236.77,320.47,-236.77,-228.37,-928.32,-866.53
78,928.32,1082.67,236.77,52.08,-236.77,-20.18,-928.32,-1009.38
81,928.32,731.85,236.77,104.05,-236.77,-119.74,-928.32,-672.42
97,928.32,606.12,236.77,235.16,-236.77,-429.38,-928.32,-1231.64
97,928.32,1227.46,236.77,100.60,-236.77,-249.28,-928.32,-1048.37
99,928.32,1263.09,236.77,117.88,-236.77,-42.68,-928.32,-907.54
107,928.32,868.73,236.77,321.45,-236.77,-135.58,-928.32,-673.30
110,928.32,434.88,236.77,300.05,-236.77,-341.35,-928.32,-675.37
