t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
7,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
25,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
26,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
31,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
46,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
46,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
55,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
60,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
66,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
91,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
114,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
114,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
115,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
115,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
115,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
115,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
123,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
129,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
129,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
132,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
137,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
140,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
146,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
153,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
156,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
166,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
171,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
174,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
180,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
186,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
190,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
194,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
200,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
204,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
207,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
214,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
217,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
223,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
228,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
232,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
238,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
249,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
259,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
274,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
279,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
286,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
292,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
302,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
302,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
305,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
312,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
315,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
319,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
322,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
331,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
335,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
338,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
344,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
347,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
353,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
366,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
366,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
366,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
374,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
379,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
382,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
386,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
392,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
398,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
408,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
408,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
411,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
422,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
425,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
434,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
434,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
440,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
443,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
448,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
455,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
459,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
463,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
466,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
471,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
479,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
482,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
489,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
497,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
503,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
507,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
510,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
513,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
521,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
524,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
532,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
539,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
539,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
542,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
548,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
552,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
564,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
571,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
571,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
575,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
578,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
586,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
588,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
591,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
603,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
603,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
606,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
616,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
616,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
623,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
628,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
632,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
638,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
642,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
649,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
655,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
660,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
664,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
670,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
673,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
683,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
683,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
686,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
697,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
705,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
705,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
708,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
712,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
719,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
722,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
732,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
735,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
