t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
9,0-981.96,-823.15,279.07,263.39,-279.07,-121.81,981.96,631.07
10,-975.78,-825.28,277.32,441.58,-277.32,-136.84,975.78,817.19
10,-975.78,-964.04,277.32,253.52,-277.32,-349.70,975.78,1018.29
14,-975.78,-886.59,277.32,27.97,-277.32,-320.15,975.78,950.49
19,-975.78,-1165.02,277.32,47.69,-277.32,-204.64,975.78,1081.84
34,-972.70,-781.24,276.44,172.10,-276.44,-227.95,972.70,600.56
39,-972.70,-1001.39,276.44,52.56,-276.44,-216.27,972.70,1095.67
40,-972.70,-862.83,276.44,12.01,-276.44,-141.32,972.70,912.96
46,-972.70,-1118.33,276.44,131.07,-276.44,-223.78,972.70,1152.90
51,-972.70,-1005.36,276.44,242.31,-276.44,-306.22,972.70,705.60
59,-972.70,-1034.01,276.44,235.89,-276.44,-173.77,972.70,799.74
65,-972.70,-929.38,276.44,174.59,-276.44,-224.32,972.70,1236.86
70,-972.70,-887.98,276.44,251.78,-276.44,-365.40,972.70,996.99
86,-972.70,-1074.46,276.44,325.52,-276.44,-453.88,972.70,908.91
86,-972.70,-756.57,276.44,300.00,-276.44,-276.93,972.70,559.36
88,-972.70,-995.24,276.44,278.07,-276.44,31.53,972.70,1238.07
91,-972.70,-836.53,276.44,90.22,-276.44,-37.87,972.70,936.82
106,-972.70,-1273.56,276.44,36.00,-276.44,-311.42,972.70,1088.22
106,-972.70,-820.51,276.44,201.76,-276.44,-333.87,972.70,634.40
109,-969.61,-841.63,275.56,369.60,-275.56,-97.06,969.61,845.12
116,-969.61,-899.62,275.56,379.91,-275.56,-0.46,969.61,1239.31
122,-969.61,-884.30,275.56,453.78,-275.56,-72.56,969.61,986.25
131,-969.61,-1202.13,275.56,193.11,-275.56,-299.28,969.61,701.63
134,-969.61,-824.90,275.56,50.13,-275.56,-345.63,969.61,384.13
141,-969.61,-906.14,275.56,104.32,-275.56,-306.01,969.61,894.38
150,-969.61,-796.94,275.56,139.79,-275.56,-253.81,969.61,1383.35
154,-969.61,-1237.81,275.56,40.26,-275.56,-119.37,969.61,1209.27
158,-969.61,-926.31,275.56,0.00,-275.56,-67.84,969.61,587.88
163,-969.61,-788.11,275.56,103.77,-275.56,-149.42,969.61,665.05
171,-969.61,-869.45,275.56,231.83,-275.56,-349.70,969.61,1251.77
180,-969.61,-875.08,275.56,301.48,-275.56,-388.46,969.61,924.52
185,-969.61,-1204.62,275.56,202.48,-275.56,-501.29,969.61,1153.85
